City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Puerto Ayacucho,VE,5.6639,-67.6236,75.58,89,100,2.8,overcast clouds
197,Kutum,SD,14.2,24.6667,67.53,27,4,5.7,clear sky
198,Sorong,ID,-0.8833,131.25,83.3,78,22,3.56,few clouds
199,Soyo,AO,-6.1349,12.3689,77.23,86,97,6.15,overcast clouds
200,Longyearbyen,SJ,78.2186,15.6401,12.04,79,75,4.61,broken clouds
201,Cabra,ES,37.4725,-4.4421,47.89,70,1,4.76,clear sky
202,Esperance,AU,-33.8667,121.9,67.84,58,100,16.93,overcast clouds
203,Olafsvik,IS,64.8945,-23.7142,37.96,95,100,25.39,heavy intensity rain
204,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,13.8,scattered clouds
205,Ponta Delgada,PT,37.7333,-25.6667,69.49,77,40,13.8,scattered clouds
206,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,53.31,86,29,0.94,scattered clouds
207,Avarua,CK,-21.2078,-159.775,75.25,69,40,10.36,scattered clouds
208,Pacific Grove,US,36.6177,-121.9166,54.66,83,73,1.99,broken clouds
209,Airai,TL,-8.9266,125.4092,71.17,76,93,0.38,overcast clouds
210,Isangel,VU,-19.55,169.2667,80.71,65,63,9.22,broken clouds
211,Nichinan,JP,31.6,131.3667,74.35,81,97,11.97,light rain
212,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.25,77,99,4.81,overcast clouds
213,Naryan-Mar,RU,67.6713,53.087,20.66,88,38,8.5,scattered clouds
214,Paita,PE,-5.0892,-81.1144,63.88,84,17,10.22,few clouds
215,Camopi,GF,3.1655,-52.3158,71.8,100,99,1.72,overcast clouds
216,Poum,NC,-20.2333,164.0167,76.5,77,94,13.89,overcast clouds
217,Kimbe,PG,-5.5502,150.1429,84.07,78,61,1.92,moderate rain
218,Jagdalpur,IN,19.0667,82.0333,73.2,50,99,9.4,overcast clouds
219,Bethel,US,41.3712,-73.414,48.0,75,1,3.44,clear sky
220,Hualmay,PE,-11.0964,-77.6139,63.41,85,98,7.18,overcast clouds
221,Charlestown,AU,-32.95,151.6667,86.22,86,34,3.0,light rain
222,Dongsheng,CN,39.8161,109.9776,24.51,49,0,16.8,clear sky
223,Odweyne,SO,9.4092,45.064,69.66,39,20,8.46,few clouds
224,Lerwick,GB,60.1545,-1.1494,39.2,61,100,3.53,overcast clouds
225,Ust-Nera,RU,64.5667,143.2,-18.09,97,61,5.84,broken clouds
226,Pisco,PE,-13.7,-76.2167,64.45,82,66,5.75,broken clouds
227,Ambad,IN,19.6167,75.8,77.79,33,90,9.53,overcast clouds
228,Eureka,US,40.8021,-124.1637,45.68,74,31,1.01,scattered clouds
229,Shahrud,IR,36.4182,54.9763,43.11,55,1,1.81,clear sky
230,Oktyabrskiy,RU,54.4815,53.471,33.1,91,55,6.46,broken clouds
231,Camacha,PT,33.0833,-16.3333,63.82,59,40,11.5,scattered clouds
232,Horodnytsya,UA,50.807,27.3168,43.72,83,100,12.03,overcast clouds
233,Kiruna,SE,67.8557,20.2251,11.32,85,20,6.91,few clouds
234,North Platte,US,41.1239,-100.7654,55.29,51,1,5.01,clear sky
235,Georgetown,MY,5.4112,100.3354,88.9,73,20,3.0,few clouds
236,Flinders,AU,-34.5833,150.8552,72.81,84,28,4.0,moderate rain
237,Polovinnoye,RU,54.7914,65.9864,34.43,74,47,15.14,scattered clouds
238,Coolum Beach,AU,-26.5333,153.1,83.1,77,93,9.15,light rain
239,Lorengau,PG,-2.0226,147.2712,85.06,68,32,12.24,scattered clouds
240,Maumere,ID,-8.6199,122.2111,85.96,71,67,1.7,broken clouds
241,Inhambane,MZ,-23.865,35.3833,76.98,94,40,0.0,scattered clouds
242,Xining,CN,36.6167,101.7667,29.55,36,100,2.93,overcast clouds
243,Kieta,PG,-6.2167,155.6333,85.37,57,19,5.06,few clouds
244,Paraiso,CR,9.8383,-83.8656,67.06,95,100,3.0,overcast clouds
245,Chapais,CA,49.7834,-74.8492,40.78,98,100,5.73,overcast clouds
246,Gao,ML,16.6362,1.637,79.54,16,35,7.67,scattered clouds
247,Spring Hill,US,28.4769,-82.5255,62.47,70,0,8.32,clear sky
248,Plouzane,FR,48.3833,-4.6167,50.05,97,90,1.14,mist
249,Changping,CN,40.2186,116.2197,38.84,64,0,14.92,clear sky
250,Vestmannaeyjar,IS,63.4427,-20.2734,43.75,82,92,36.62,overcast clouds
251,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.79,99,98,2.13,overcast clouds
252,Pemangkat,ID,1.1667,108.9667,86.34,64,58,7.09,broken clouds
253,Raudeberg,NO,61.9875,5.1352,38.86,82,96,3.0,overcast clouds
254,Udachnyy,RU,66.4167,112.4,20.3,87,83,10.04,broken clouds
255,Quepos,CR,9.4236,-84.1652,81.7,84,94,2.93,overcast clouds
256,Kologriv,RU,58.8275,44.3178,33.53,98,100,8.01,snow
257,Hami,CN,42.8,93.45,33.4,29,1,6.24,clear sky
258,Avera,US,33.194,-82.5271,47.71,55,0,6.96,clear sky
259,Atar,MR,20.5169,-13.0499,70.66,30,77,6.85,broken clouds
260,Aklavik,CA,68.2191,-135.0107,18.32,96,94,5.99,overcast clouds
261,Jumla,NP,29.2747,82.1838,61.7,18,0,4.54,clear sky
262,Dingle,PH,10.9995,122.6711,86.34,74,42,12.19,scattered clouds
263,Meulaboh,ID,4.1363,96.1285,75.49,95,100,6.4,overcast clouds
264,Vanimo,PG,-2.6741,141.3028,86.29,67,45,10.63,scattered clouds
265,Hamilton,US,39.1834,-84.5333,49.98,75,20,3.44,few clouds
266,Nouadhibou,MR,20.931,-17.0347,62.58,72,0,16.11,clear sky
267,Copala,MX,16.65,-98.9833,76.23,82,41,2.73,scattered clouds
268,Lakselv,NO,70.0513,24.9718,31.82,86,90,5.75,overcast clouds
269,Axim,GH,4.8699,-2.2405,78.21,88,99,6.13,overcast clouds
270,Abrud,RO,46.2667,23.0667,42.24,96,89,0.65,light rain
271,Sao Joao De Pirabas,BR,-0.7747,-47.1772,75.58,93,48,3.6,scattered clouds
272,Yerbogachen,RU,61.2767,108.0108,28.92,89,100,12.62,overcast clouds
273,Muravlenko,RU,63.7898,74.523,31.17,94,99,16.96,overcast clouds
274,Araouane,ML,18.9048,-3.5265,74.55,25,17,10.74,few clouds
275,Parksville,CA,49.3163,-124.3195,42.44,99,68,1.01,broken clouds
276,Emerald,AU,-23.5333,148.1667,84.97,43,75,2.3,light rain
277,Hofn,IS,64.2539,-15.2082,38.35,98,100,12.12,light rain
278,Midsalip,PH,8.0,123.2667,81.37,65,71,5.26,broken clouds
279,Groningen,NL,53.25,6.75,48.22,94,90,8.05,overcast clouds
280,Laguna,US,38.421,-121.4238,52.77,74,1,3.44,clear sky
281,Ugoofaaru,MV,5.6667,73.0,81.07,81,100,15.97,overcast clouds
282,Dong Hoi,VN,17.4833,106.6,72.66,89,100,23.15,overcast clouds
283,Visnes,NO,59.3556,5.2242,46.45,93,90,12.66,drizzle
284,Mindelo,CV,16.8901,-24.9804,74.75,69,0,17.27,clear sky
285,Juneau,US,58.3019,-134.4197,33.22,90,20,0.0,few clouds
286,Autun,FR,46.95,4.3,41.45,95,83,2.33,broken clouds
287,Mastic Beach,US,40.7668,-72.8521,52.03,73,1,5.99,clear sky
288,Dabakala,CI,8.3667,-4.4333,73.51,87,58,3.96,broken clouds
289,Vardo,NO,70.3705,31.1107,25.0,63,99,14.65,light snow
290,San Jose,US,37.3394,-121.895,54.73,71,40,8.05,scattered clouds
291,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,55,75,8.95,broken clouds
292,Carauari,BR,-4.8828,-66.8958,72.36,99,80,1.92,broken clouds
293,Nagato,JP,34.3833,131.2,70.25,79,100,20.67,moderate rain
294,Sabana Grande De Boya,DO,18.945,-69.7933,77.2,94,37,2.75,scattered clouds
295,Saint-Joseph,RE,-21.3667,55.6167,80.2,72,19,9.64,few clouds
296,Salinopolis,BR,-0.6136,-47.3561,78.21,87,66,6.49,broken clouds
297,Geraldton,AU,-28.7667,114.6,72.01,53,9,16.11,clear sky
298,Ambon,ID,-3.6954,128.1814,87.94,70,40,10.36,scattered clouds
299,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.6,100,90,6.91,overcast clouds
300,Thompson,CA,55.7435,-97.8558,30.36,100,90,0.0,overcast clouds
301,Slave Lake,CA,55.2834,-114.769,28.38,64,20,2.3,few clouds
302,Jiazi,CN,22.8779,116.067,70.74,54,18,16.58,few clouds
303,Constitucion,CL,-35.3333,-72.4167,54.91,78,3,10.74,clear sky
304,Sabha,LY,27.0377,14.4283,65.8,32,66,11.12,broken clouds
305,Hambantota,LK,6.1241,81.1185,79.14,94,20,10.36,few clouds
306,Keti Bandar,PK,24.1447,67.4497,85.41,27,5,7.65,clear sky
307,Santo Domingo,DO,18.5001,-69.9886,80.04,79,88,1.99,overcast clouds
308,Sajanan,TN,37.0573,9.2426,56.32,81,15,5.7,few clouds
309,Sann,PK,26.0418,68.1378,69.71,14,1,1.32,clear sky
310,Kagalnik,RU,47.0769,39.323,36.28,69,92,7.54,overcast clouds
311,Mount Isa,AU,-20.7333,139.5,87.57,55,72,12.66,light rain
312,Nemuro,JP,43.3236,145.575,48.63,78,69,12.84,broken clouds
313,Erzin,TR,36.9559,36.2,50.52,29,19,4.81,few clouds
314,Brae,GB,60.3964,-1.353,39.11,68,95,4.83,overcast clouds
315,Stromness,GB,58.965,-3.296,44.87,91,96,3.0,overcast clouds
316,Sunndalsora,NO,62.6754,8.5515,34.45,82,98,8.59,overcast clouds
317,Palauig,PH,15.435,119.9045,85.86,70,19,5.41,few clouds
318,Taoudenni,ML,22.6783,-3.9836,65.95,21,0,14.07,clear sky
319,Zagorje Ob Savi,SI,46.1318,14.9969,48.15,58,100,5.28,light rain
320,Abu Samrah,SY,35.3029,37.1841,61.38,33,66,4.07,broken clouds
321,San Ignacio,BZ,17.1561,-89.0714,66.34,94,0,0.0,clear sky
322,Vao,NC,-22.6667,167.4833,72.86,62,11,7.23,few clouds
323,Lebu,CL,-37.6167,-73.65,52.05,95,63,8.95,broken clouds
324,Mehamn,NO,71.0357,27.8492,32.18,86,0,8.05,snow
325,Tuy Hoa,VN,13.0833,109.3,80.94,86,41,13.76,scattered clouds
326,North Bend,US,43.4065,-124.2243,47.86,96,90,9.22,overcast clouds
327,Nador,MA,35.174,-2.9287,50.25,57,0,5.75,clear sky
328,Yantal,RU,56.8471,105.2542,33.19,93,100,12.77,light snow
329,Jeremie,HT,18.65,-74.1167,78.93,78,41,3.56,scattered clouds
330,Gavle,SE,60.6745,17.1417,32.5,91,78,4.0,light snow
331,Filingue,NE,14.3521,3.3168,80.28,15,19,3.56,few clouds
332,Severo-Kurilsk,RU,50.6789,156.125,36.52,68,99,24.43,light rain
333,Bandarbeyla,SO,9.4942,50.8122,80.04,60,73,11.23,broken clouds
334,Homer,US,59.6425,-151.5483,31.08,89,40,6.91,scattered clouds
335,Rio Gallegos,AR,-51.6226,-69.2181,42.85,56,0,13.8,clear sky
336,Tabou,CI,4.423,-7.3528,77.52,89,97,3.78,light rain
337,Russell,US,32.3502,-85.1999,47.43,81,1,0.0,haze
338,Natal,BR,-5.795,-35.2094,79.45,83,40,8.05,scattered clouds
339,Chimoio,MZ,-19.1164,33.4833,67.86,73,0,3.94,haze
340,Kanniyakumari,IN,8.0833,77.5667,80.08,77,100,5.84,overcast clouds
341,Kahului,US,20.8947,-156.47,78.82,80,40,18.41,scattered clouds
342,Shimoda,JP,34.6667,138.95,68.36,61,63,21.52,broken clouds
343,Port Lincoln,AU,-34.7333,135.8667,61.86,54,93,8.72,overcast clouds
344,Dawlatabad,AF,36.4141,64.9053,43.97,59,100,6.11,overcast clouds
345,Tyukalinsk,RU,55.8732,72.1967,33.58,63,49,19.95,scattered clouds
