City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Bapatla,IN,80.24,broken clouds,15.9,80.4667,Kumar Hotel
138,Kiunga,PG,86.14,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
140,Dargaville,NZ,65.34,scattered clouds,-35.9333,173.8833,Parkview Motel
144,Hurghada,EG,73.85,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
146,San Patricio,US,70.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
148,Aswan,EG,76.06,clear sky,24.0934,32.907,Nuba Nile
152,Chapeco,BR,69.55,clear sky,-27.0964,-52.6183,Golden Hotel
153,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
154,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
157,Tura,IN,78.22,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
158,Itarema,BR,77.63,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
159,Mondlo,ZA,68.27,overcast clouds,-27.983,30.7177,KwaXaba
161,Gorontalo,ID,85.01,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
162,Vila Franca Do Campo,PT,69.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
164,Coari,BR,73.17,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
170,Takoradi,GH,77.94,broken clouds,4.8845,-1.7554,Raybow International Hotel
171,Alofi,NU,76.89,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
172,Cap Malheureux,MU,79.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
173,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
174,Victoria,HK,71.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
176,Puerto Ayora,EC,69.21,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
179,Shingu,JP,74.39,scattered clouds,33.7333,135.9833,Shingu UI Hotel
180,Jacareacanga,BR,72.1,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
181,Arlit,NE,74.46,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
184,Aurangabad,IN,77.09,haze,19.8833,75.3333,OYO Rooms 012 Kushal Nagar
186,Darnah,LY,65.55,broken clouds,32.767,22.6367,فندق الفردوس
191,Souillac,MU,79.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
193,Nhulunbuy,AU,90.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
194,Caucaia,BR,81.03,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
196,Puerto Ayacucho,VE,75.58,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
197,Kutum,SD,67.53,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
198,Sorong,ID,83.3,few clouds,-0.8833,131.25,waigo splash hotel
199,Soyo,AO,77.23,overcast clouds,-6.1349,12.3689,Hotel Mpampa
202,Esperance,AU,67.84,overcast clouds,-33.8667,121.9,Hospitality Esperance
204,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
205,Ponta Delgada,PT,69.49,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
207,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
209,Airai,TL,71.17,overcast clouds,-8.9266,125.4092,Juvinal Martin
210,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
211,Nichinan,JP,74.35,light rain,31.6,131.3667,Guest House Aki
212,Sao Joao Da Barra,BR,70.25,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
215,Camopi,GF,71.8,overcast clouds,3.1655,-52.3158,La pousada
216,Poum,NC,76.5,overcast clouds,-20.2333,164.0167,Gîte kajeon
217,Kimbe,PG,84.07,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
218,Jagdalpur,IN,73.2,overcast clouds,19.0667,82.0333,Hotel Devansh Residency
221,Charlestown,AU,86.22,light rain,-32.95,151.6667,Panorama Motor Inn Hotel
223,Odweyne,SO,69.66,few clouds,9.4092,45.064,Eng Hiirey House
227,Ambad,IN,77.79,overcast clouds,19.6167,75.8,"चांगले नगर, अंबड शहर"
235,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
236,Flinders,AU,72.81,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
238,Coolum Beach,AU,83.1,light rain,-26.5333,153.1,Palmer Coolum Resort
239,Lorengau,PG,85.06,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
240,Maumere,ID,85.96,broken clouds,-8.6199,122.2111,Sylvia Hotel
241,Inhambane,MZ,76.98,scattered clouds,-23.865,35.3833,Oceano
243,Kieta,PG,85.37,few clouds,-6.2167,155.6333,Uruna Bay Retreat
244,Paraiso,CR,67.06,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
251,Santa Isabel Do Rio Negro,BR,72.79,overcast clouds,-0.4139,-65.0192,Hotel GSA
252,Pemangkat,ID,86.34,broken clouds,1.1667,108.9667,Ramah Kost KITA
255,Quepos,CR,81.7,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
259,Atar,MR,70.66,broken clouds,20.5169,-13.0499,Oumou Elghoura
262,Dingle,PH,86.34,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
263,Meulaboh,ID,75.49,overcast clouds,4.1363,96.1285,Kost Pria
264,Vanimo,PG,86.29,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
267,Copala,MX,76.23,scattered clouds,16.65,-98.9833,Biol. Fernando Martinez Salgado
269,Axim,GH,78.21,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
271,Sao Joao De Pirabas,BR,75.58,scattered clouds,-0.7747,-47.1772,POUSADA SOL E MAR
276,Emerald,AU,84.97,light rain,-23.5333,148.1667,The Irish Village
281,Ugoofaaru,MV,81.07,overcast clouds,5.6667,73.0,Ungoofaaru Inn
282,Dong Hoi,VN,72.66,overcast clouds,17.4833,106.6,Nam Long Hotel
284,Mindelo,CV,74.75,clear sky,16.8901,-24.9804,Hotel Gaudi
288,Dabakala,CI,73.51,broken clouds,8.3667,-4.4333,Hôtel Campement
292,Carauari,BR,72.36,broken clouds,-4.8828,-66.8958,Hotel Fellip
293,Nagato,JP,70.25,moderate rain,34.3833,131.2,いそう庵
294,Sabana Grande De Boya,DO,77.2,scattered clouds,18.945,-69.7933,Balcones De Boya
295,Saint-Joseph,RE,80.2,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
296,Salinopolis,BR,78.21,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
297,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
298,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
302,Jiazi,CN,70.74,few clouds,22.8779,116.067,Hotel Jin Hao
304,Sabha,LY,65.8,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
305,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
306,Keti Bandar,PK,85.41,clear sky,24.1447,67.4497,Haji laloo memon house
307,Santo Domingo,DO,80.04,overcast clouds,18.5001,-69.9886,Cabañas City Heart
311,Mount Isa,AU,87.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
317,Palauig,PH,85.86,few clouds,15.435,119.9045,Alperi Botique Resort
321,San Ignacio,BZ,66.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
322,Vao,NC,72.86,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
325,Tuy Hoa,VN,80.94,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
329,Jeremie,HT,78.93,scattered clouds,18.65,-74.1167,Auberge’Inn
333,Bandarbeyla,SO,80.04,broken clouds,9.4942,50.8122,JABIR HOTEL
336,Tabou,CI,77.52,light rain,4.423,-7.3528,hotêl doufoulougou
338,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
339,Chimoio,MZ,67.86,haze,-19.1164,33.4833,Predio Livraria Ahmed
340,Kanniyakumari,IN,80.08,overcast clouds,8.0833,77.5667,Sparsa
341,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
342,Shimoda,JP,68.36,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
348,Marawi,PH,77.65,scattered clouds,7.9986,124.2928,Derogongan Residence
349,Saint-Pierre,RE,81.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
350,Broken Hill,AU,71.31,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
353,Basco,PH,80.4,clear sky,20.4487,121.9702,Nathaniel's Lodge
359,Mataram,ID,85.84,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
362,Sao Miguel,BR,79.57,scattered clouds,-5.4667,-35.3667,Maracajaú Reef
363,Samana,DO,74.91,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
